,Release Date,Season,Episode,Episode Title,Name,Sentence,House,Sentences_Clean,Num_Words,Tokenized_Sentence,Tokenized_No_Stop,Stemmed_Sentence,Stemmed_Sentence_Non_Token,Sentiment,Sentiment_Compound_Score
5699,5/13/2012,Season 2,Episode 7,A Man Without Honor,robb stark,"And my enemies, as some of my bannermen are fond of mentioning.",House Stark, and my enemies as some of my bannermen are fond of mentioning,12,"['and', 'my', 'enemies', 'as', 'some', 'of', 'my', 'bannermen', 'are', 'fond', 'of', 'mentioning']","['enemies', 'bannermen', 'fond', 'mentioning']","['enemy', 'bannermen', 'fond', 'mentioning']", enemy bannermen fond mentioning,"{'neg': 0.417, 'neu': 0.238, 'pos': 0.345, 'compound': -0.1531}",-0.1531
3508,4/1/2012,Season 2,Episode 1,The North Remembers,cersei lannister,"Perhaps. But if not, we need her. They'll never give Jaime back to us for Sansa alone.",House Lannister, perhaps but if not we need her they will never give jaime back to us for sansa alone,18,"['perhaps', 'but', 'if', 'not', 'we', 'need', 'her', 'they', 'will', 'never', 'give', 'jaime', 'back', 'to', 'us', 'for', 'sansa', 'alone']","['perhaps', 'need', 'never', 'give', 'jaime', 'back', 'us', 'sansa', 'alone']","['perhaps', 'need', 'never', 'give', 'jaime', 'back', 'u', 'sansa', 'alone']", perhaps need never give jaime back u sansa alone,"{'neg': 0.222, 'neu': 0.778, 'pos': 0.0, 'compound': -0.25}",-0.25
6203,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,tyrion lannister,"Thank you, Podrick.",House Lannister, thank you podrick,3,"['thank', 'you', 'podrick']","['thank', 'podrick']","['thank', 'podrick']", thank podrick,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.3612}",0.3612
3326,4/1/2012,Season 2,Episode 1,The North Remembers,jon snow,We're not Southerners.,House Stark, we are not southerners,4,"['we', 'are', 'not', 'southerners']",['southerners'],['southerner'], southerner,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
3946,4/8/2012,Season 2,Episode 2,The Night Lands,cersei lannister,"You're funny. . You've always been funny. But none of your jokes will ever match the first one, will they? You remember... back when you ripped my mother open on your way out of her and she bled to death.",House Lannister, you are funny  you have always been funny but none of your jokes will ever match the first one will they you remember back when you ripped my mother open on your way out of her and she bled to death,41,"['you', 'are', 'funny', 'you', 'have', 'always', 'been', 'funny', 'but', 'none', 'of', 'your', 'jokes', 'will', 'ever', 'match', 'the', 'first', 'one', 'will', 'they', 'you', 'remember', 'back', 'when', 'you', 'ripped', 'my', 'mother', 'open', 'on', 'your', 'way', 'out', 'of', 'her', 'and', 'she', 'bled', 'to', 'death']","['funny', 'always', 'funny', 'none', 'jokes', 'ever', 'match', 'first', 'one', 'remember', 'back', 'ripped', 'mother', 'open', 'way', 'bled', 'death']","['funny', 'always', 'funny', 'none', 'joke', 'ever', 'match', 'first', 'one', 'remember', 'back', 'ripped', 'mother', 'open', 'way', 'bled', 'death']", funny always funny none joke ever match first one remember back ripped mother open way bled death,"{'neg': 0.235, 'neu': 0.529, 'pos': 0.236, 'compound': 0.0031}",0.0031
4118,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,cersei lannister,He might.,House Lannister, he might,2,"['he', 'might']",['might'],['might'], might,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
3275,4/1/2012,Season 2,Episode 1,The North Remembers,bran stark,That way.,House Stark, that way,2,"['that', 'way']",['way'],['way'], way,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
6597,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,They're coming. They're coming ashore.,House Lannister, they are coming they are coming ashore,7,"['they', 'are', 'coming', 'they', 'are', 'coming', 'ashore']","['coming', 'coming', 'ashore']","['coming', 'coming', 'ashore']", coming coming ashore,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
6076,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,kevan lannister,King's Landing will fall an hour after Stannis lands his force. It's not too late for King Joffrey and Cersei and the court to ride west to safety.,House Lannister, kings landing will fall an hour after stannis lands his force it is not too late for king joffrey and cersei and the court to ride west to safety,29,"['kings', 'landing', 'will', 'fall', 'an', 'hour', 'after', 'stannis', 'lands', 'his', 'force', 'it', 'is', 'not', 'too', 'late', 'for', 'king', 'joffrey', 'and', 'cersei', 'and', 'the', 'court', 'to', 'ride', 'west', 'to', 'safety']","['kings', 'landing', 'fall', 'hour', 'stannis', 'lands', 'force', 'late', 'king', 'joffrey', 'cersei', 'court', 'ride', 'west', 'safety']","['king', 'landing', 'fall', 'hour', 'stannis', 'land', 'force', 'late', 'king', 'joffrey', 'cersei', 'court', 'ride', 'west', 'safety']", king landing fall hour stannis land force late king joffrey cersei court ride west safety,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.4215}",0.4215
3429,4/1/2012,Season 2,Episode 1,The North Remembers,tyrion lannister,You can smell cum from the balcony?,House Lannister, you can smell cum from the balcony,7,"['you', 'can', 'smell', 'cum', 'from', 'the', 'balcony']","['smell', 'cum', 'balcony']","['smell', 'cum', 'balcony']", smell cum balcony,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
5820,5/13/2012,Season 2,Episode 7,A Man Without Honor,jaime lannister,More embarrassing than being chained to a post covered in your own shit?,House Lannister, more embarrassing than being chained to a post covered in your own shit,13,"['more', 'embarrassing', 'than', 'being', 'chained', 'to', 'a', 'post', 'covered', 'in', 'your', 'own', 'shit']","['embarrassing', 'chained', 'post', 'covered', 'shit']","['embarrassing', 'chained', 'post', 'covered', 'shit']", embarrassing chained post covered shit,"{'neg': 0.674, 'neu': 0.326, 'pos': 0.0, 'compound': -0.7351}",-0.7351
6224,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,tyrion lannister,Why are you smiling?,House Lannister, why are you smiling,4,"['why', 'are', 'you', 'smiling']",['smiling'],['smiling'], smiling,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",0.4588
4959,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,daenerys targaryen,That's not the kind of queen I'm going to be.,House Targaryen, that is not the kind of queen i am going to be,12,"['that', 'is', 'not', 'the', 'kind', 'of', 'queen', 'i', 'am', 'going', 'to', 'be']","['kind', 'queen', 'going']","['kind', 'queen', 'going']", kind queen going,"{'neg': 0.0, 'neu': 0.37, 'pos': 0.63, 'compound': 0.5267}",0.5267
5930,5/13/2012,Season 2,Episode 7,A Man Without Honor,tyrion lannister,Sins?,House Lannister, sins,1,['sins'],['sins'],['sin'], sin,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5574}",-0.5574
3207,4/1/2012,Season 2,Episode 1,The North Remembers,joffrey lannister,"I've been here, ruling the kingdoms.",House Lannister, i have been here ruling the kingdoms,7,"['i', 'have', 'been', 'here', 'ruling', 'the', 'kingdoms']","['ruling', 'kingdoms']","['ruling', 'kingdom']", ruling kingdom,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
5443,5/6/2012,Season 2,Episode 6,The Old Gods and the New,robb stark,"Of course, a spy would deny being a spy.",House Stark, of course a spy would deny being a spy,9,"['of', 'course', 'a', 'spy', 'would', 'deny', 'being', 'a', 'spy']","['course', 'spy', 'would', 'deny', 'spy']","['course', 'spy', 'would', 'deny', 'spy']", course spy would deny spy,"{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.34}",-0.34
4345,4/22/2012,Season 2,Episode 4,Garden of Bones,talisa,The rot will spread if we don't take the foot now,House Stark, the rot will spread if we do not take the foot now,12,"['the', 'rot', 'will', 'spread', 'if', 'we', 'do', 'not', 'take', 'the', 'foot', 'now']","['rot', 'spread', 'take', 'foot']","['rot', 'spread', 'take', 'foot']", rot spread take foot,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
5911,5/13/2012,Season 2,Episode 7,A Man Without Honor,cersei lannister,How many times can you read one raven scroll?,House Lannister, how many times can you read one raven scroll,9,"['how', 'many', 'times', 'can', 'you', 'read', 'one', 'raven', 'scroll']","['many', 'times', 'read', 'one', 'raven', 'scroll']","['many', 'time', 'read', 'one', 'raven', 'scroll']", many time read one raven scroll,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
4222,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,cersei lannister,No.,House Lannister, no,1,['no'],[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0
5859,5/13/2012,Season 2,Episode 7,A Man Without Honor,daenerys targaryen,"Please, they're my children. I'm begging you.",House Targaryen, please they are my children i am begging you,9,"['please', 'they', 'are', 'my', 'children', 'i', 'am', 'begging', 'you']","['please', 'children', 'begging']","['please', 'child', 'begging']", please child begging,"{'neg': 0.0, 'neu': 0.465, 'pos': 0.535, 'compound': 0.3182}",0.3182
6017,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,robb stark,I've never met her.,House Stark, i have never met her,5,"['i', 'have', 'never', 'met', 'her']","['never', 'met']","['never', 'met']", never met,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
4236,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,tyrion lannister,"Yes, I fear so. Sorry about that, too.",House Lannister, yes i fear so sorry about that too,8,"['yes', 'i', 'fear', 'so', 'sorry', 'about', 'that', 'too']","['yes', 'fear', 'sorry']","['yes', 'fear', 'sorry']", yes fear sorry,"{'neg': 0.625, 'neu': 0.0, 'pos': 0.375, 'compound': -0.2023}",-0.2023
4735,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,tyrion lannister,Schemes and plots are the same thing. They are going to attack us. We need to be ready.,House Lannister, schemes and plots are the same thing they are going to attack us we need to be ready,18,"['schemes', 'and', 'plots', 'are', 'the', 'same', 'thing', 'they', 'are', 'going', 'to', 'attack', 'us', 'we', 'need', 'to', 'be', 'ready']","['schemes', 'plots', 'thing', 'going', 'attack', 'us', 'need', 'ready']","['scheme', 'plot', 'thing', 'going', 'attack', 'u', 'need', 'ready']", scheme plot thing going attack u need ready,"{'neg': 0.292, 'neu': 0.472, 'pos': 0.236, 'compound': -0.1531}",-0.1531
4484,4/22/2012,Season 2,Episode 4,Garden of Bones,catelyn stark,Have you lost your mind? Get out!,House Stark, have you lost your mind get out,7,"['have', 'you', 'lost', 'your', 'mind', 'get', 'out']","['lost', 'mind', 'get']","['lost', 'mind', 'get']", lost mind get,"{'neg': 0.535, 'neu': 0.465, 'pos': 0.0, 'compound': -0.3182}",-0.3182
6241,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,cersei lannister,"Would you like to see her? I thought you might. Ser Mandon, bring in my brother's whore.",House Lannister, would you like to see her i thought you might ser mandon bring in my brothers whore,17,"['would', 'you', 'like', 'to', 'see', 'her', 'i', 'thought', 'you', 'might', 'ser', 'mandon', 'bring', 'in', 'my', 'brothers', 'whore']","['would', 'like', 'see', 'thought', 'might', 'ser', 'mandon', 'bring', 'brothers', 'whore']","['would', 'like', 'see', 'thought', 'might', 'ser', 'mandon', 'bring', 'brother', 'whore']", would like see thought might ser mandon bring brother whore,"{'neg': 0.291, 'neu': 0.541, 'pos': 0.169, 'compound': -0.4215}",-0.4215
5218,5/6/2012,Season 2,Episode 6,The Old Gods and the New,tywin lannister,Clear all this.,House Lannister, clear all this,3,"['clear', 'all', 'this']",['clear'],['clear'], clear,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",0.3818
6528,5/27/2012,Season 2,Episode 9,Blackwater,cersei lannister,Sansa.,House Lannister, sansa,1,['sansa'],['sansa'],['sansa'], sansa,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
6669,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,What did my mother say exactly? Did she have urgent business with me?,House Lannister, what did my mother say exactly did she have urgent business with me,13,"['what', 'did', 'my', 'mother', 'say', 'exactly', 'did', 'she', 'have', 'urgent', 'business', 'with', 'me']","['mother', 'say', 'exactly', 'urgent', 'business']","['mother', 'say', 'exactly', 'urgent', 'business']", mother say exactly urgent business,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.2023}",0.2023
5315,5/6/2012,Season 2,Episode 6,The Old Gods and the New,joffrey lannister,What are you doing? I want these people executed!,House Lannister, what are you doing i want these people executed,9,"['what', 'are', 'you', 'doing', 'i', 'want', 'these', 'people', 'executed']","['want', 'people', 'executed']","['want', 'people', 'executed']", want people executed,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.0772}",0.0772
5637,5/13/2012,Season 2,Episode 7,A Man Without Honor,tywin lannister,"Correct. A student of history, are you?",House Lannister, correct a student of history are you,7,"['correct', 'a', 'student', 'of', 'history', 'are', 'you']","['correct', 'student', 'history']","['correct', 'student', 'history']", correct student history,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
5619,5/13/2012,Season 2,Episode 7,A Man Without Honor,arya stark,No.,House Stark, no,1,['no'],[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0
6705,5/27/2012,Season 2,Episode 9,Blackwater,sansa stark,Where?,House Stark, where,1,['where'],[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0
5624,5/13/2012,Season 2,Episode 7,A Man Without Honor,arya stark,I eat a lot. I just don't grow.,House Stark, i eat a lot i just do not grow,9,"['i', 'eat', 'a', 'lot', 'i', 'just', 'do', 'not', 'grow']","['eat', 'lot', 'grow']","['eat', 'lot', 'grow']", eat lot grow,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
3217,4/1/2012,Season 2,Episode 1,The North Remembers,tyrion lannister,"Well, , enjoy your name day, Your Grace. Wish I could stay and celebrate, but there is work to be done.",House Lannister, well  enjoy your name day your grace wish i could stay and celebrate but there is work to be done,20,"['well', 'enjoy', 'your', 'name', 'day', 'your', 'grace', 'wish', 'i', 'could', 'stay', 'and', 'celebrate', 'but', 'there', 'is', 'work', 'to', 'be', 'done']","['well', 'enjoy', 'name', 'day', 'grace', 'wish', 'could', 'stay', 'celebrate', 'work', 'done']","['well', 'enjoy', 'name', 'day', 'grace', 'wish', 'could', 'stay', 'celebrate', 'work', 'done']", well enjoy name day grace wish could stay celebrate work done,"{'neg': 0.0, 'neu': 0.293, 'pos': 0.707, 'compound': 0.926}",0.926
4388,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,"If you want Robb Stark to hear us, we're going to have to speak louder.",House Lannister, if you want robb stark to hear us we are going to have to speak louder,16,"['if', 'you', 'want', 'robb', 'stark', 'to', 'hear', 'us', 'we', 'are', 'going', 'to', 'have', 'to', 'speak', 'louder']","['want', 'robb', 'stark', 'hear', 'us', 'going', 'speak', 'louder']","['want', 'robb', 'stark', 'hear', 'u', 'going', 'speak', 'louder']", want robb stark hear u going speak louder,"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.0772}",0.0772
6245,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,tyrion lannister,Never.,House Lannister, never,1,['never'],['never'],['never'], never,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
5492,5/6/2012,Season 2,Episode 6,The Old Gods and the New,robb stark,How can I call myself king if I can't hold my own castle? How can I ask men to follow me if I can't-,House Stark, how can i call myself king if i cannot hold my own castle how can i ask men to follow me if i cant,24,"['how', 'can', 'i', 'call', 'myself', 'king', 'if', 'i', 'cannot', 'hold', 'my', 'own', 'castle', 'how', 'can', 'i', 'ask', 'men', 'to', 'follow', 'me', 'if', 'i', 'cant']","['call', 'king', 'cannot', 'hold', 'castle', 'ask', 'men', 'follow', 'cant']","['call', 'king', 'cannot', 'hold', 'castle', 'ask', 'men', 'follow', 'cant']", call king cannot hold castle ask men follow cant,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
4156,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,tyrion lannister,"I'm trusting the council with these plans, but the Queen mustn't know. We can't have her meddling in affairs that could determine the future of the realm. There's too much at stake.",House Lannister, i am trusting the council with these plans but the queen must not know we cannot have her meddling in affairs that could determine the future of the realm there is too much at stake,35,"['i', 'am', 'trusting', 'the', 'council', 'with', 'these', 'plans', 'but', 'the', 'queen', 'must', 'not', 'know', 'we', 'cannot', 'have', 'her', 'meddling', 'in', 'affairs', 'that', 'could', 'determine', 'the', 'future', 'of', 'the', 'realm', 'there', 'is', 'too', 'much', 'at', 'stake']","['trusting', 'council', 'plans', 'queen', 'must', 'know', 'cannot', 'meddling', 'affairs', 'could', 'determine', 'future', 'realm', 'much', 'stake']","['trusting', 'council', 'plan', 'queen', 'must', 'know', 'cannot', 'meddling', 'affair', 'could', 'determine', 'future', 'realm', 'much', 'stake']", trusting council plan queen must know cannot meddling affair could determine future realm much stake,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}",0.4019
4215,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,tyrion lannister,Dorne is the safest place for her.,House Lannister, dorne is the safest place for her,7,"['dorne', 'is', 'the', 'safest', 'place', 'for', 'her']","['dorne', 'safest', 'place']","['dorne', 'safest', 'place']", dorne safest place,"{'neg': 0.0, 'neu': 0.426, 'pos': 0.574, 'compound': 0.4019}",0.4019
5892,5/13/2012,Season 2,Episode 7,A Man Without Honor,catelyn stark,"And crippled mine. He will answer for his crimes, I promise you, but not here.",House Stark, and crippled mine he will answer for his crimes i promise you but not here,15,"['and', 'crippled', 'mine', 'he', 'will', 'answer', 'for', 'his', 'crimes', 'i', 'promise', 'you', 'but', 'not', 'here']","['crippled', 'mine', 'answer', 'crimes', 'promise']","['crippled', 'mine', 'answer', 'crime', 'promise']", crippled mine answer crime promise,"{'neg': 0.398, 'neu': 0.341, 'pos': 0.261, 'compound': -0.296}",-0.296
5293,5/6/2012,Season 2,Episode 6,The Old Gods and the New,sansa stark,It seems a normal thing.,House Stark, it seems a normal thing,5,"['it', 'seems', 'a', 'normal', 'thing']","['seems', 'normal', 'thing']","['seems', 'normal', 'thing']", seems normal thing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
6957,6/3/2012,Season 2,Episode 10,Valar Morghulis,tyrion lannister,I'm a monster as well as a dwarf. You should charge me double.,House Lannister, i am a monster as well as a dwarf you should charge me double,14,"['i', 'am', 'a', 'monster', 'as', 'well', 'as', 'a', 'dwarf', 'you', 'should', 'charge', 'me', 'double']","['monster', 'well', 'dwarf', 'charge', 'double']","['monster', 'well', 'dwarf', 'charge', 'double']", monster well dwarf charge double,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.2732}",0.2732
4455,4/22/2012,Season 2,Episode 4,Garden of Bones,daenerys targaryen,Qarth?,House Targaryen, qarth,1,['qarth'],['qarth'],['qarth'], qarth,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
6583,5/27/2012,Season 2,Episode 9,Blackwater,sansa stark,Your father doesn't believe in the gods?,House Stark, your father does not believe in the gods,8,"['your', 'father', 'does', 'not', 'believe', 'in', 'the', 'gods']","['father', 'believe', 'gods']","['father', 'believe', 'god']", father believe god,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.2732}",0.2732
6343,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,tyrion lannister,What do you want? Tell me.,House Lannister, what do you want tell me,6,"['what', 'do', 'you', 'want', 'tell', 'me']","['want', 'tell']","['want', 'tell']", want tell,"{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.0772}",0.0772
6218,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,cersei lannister,Do you know why Varys is so dangerous?,House Lannister, do you know why varys is so dangerous,8,"['do', 'you', 'know', 'why', 'varys', 'is', 'so', 'dangerous']","['know', 'varys', 'dangerous']","['know', 'varys', 'dangerous']", know varys dangerous,"{'neg': 0.608, 'neu': 0.392, 'pos': 0.0, 'compound': -0.4767}",-0.4767
3572,4/8/2012,Season 2,Episode 2,The Night Lands,cersei lannister,What are you asking?,House Lannister, what are you asking,4,"['what', 'are', 'you', 'asking']",['asking'],['asking'], asking,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
3758,4/8/2012,Season 2,Episode 2,The Night Lands,tyrion lannister,I appreciate your loyalty. Tell me.,House Lannister, i appreciate your loyalty tell me,6,"['i', 'appreciate', 'your', 'loyalty', 'tell', 'me']","['appreciate', 'loyalty', 'tell']","['appreciate', 'loyalty', 'tell']", appreciate loyalty tell,"{'neg': 0.0, 'neu': 0.139, 'pos': 0.861, 'compound': 0.7351}",0.7351
6187,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,arya stark,All right. Jaqen H'ghar.,House Stark, all right jaqen hghar,4,"['all', 'right', 'jaqen', 'hghar']","['right', 'jaqen', 'hghar']","['right', 'jaqen', 'hghar']", right jaqen hghar,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
6766,6/3/2012,Season 2,Episode 10,Valar Morghulis,joffrey lannister,"The gods are good. I am free to heed my heart. Ser Loras, I will gladly wed your sweet sister. You will be my queen and I will love you from this day until my last day.",House Lannister, the gods are good i am free to heed my heart ser loras i will gladly wed your sweet sister you will be my queen and i will love you from this day until my last day,37,"['the', 'gods', 'are', 'good', 'i', 'am', 'free', 'to', 'heed', 'my', 'heart', 'ser', 'loras', 'i', 'will', 'gladly', 'wed', 'your', 'sweet', 'sister', 'you', 'will', 'be', 'my', 'queen', 'and', 'i', 'will', 'love', 'you', 'from', 'this', 'day', 'until', 'my', 'last', 'day']","['gods', 'good', 'free', 'heed', 'heart', 'ser', 'loras', 'gladly', 'wed', 'sweet', 'sister', 'queen', 'love', 'day', 'last', 'day']","['god', 'good', 'free', 'heed', 'heart', 'ser', 'loras', 'gladly', 'wed', 'sweet', 'sister', 'queen', 'love', 'day', 'last', 'day']", god good free heed heart ser loras gladly wed sweet sister queen love day last day,"{'neg': 0.0, 'neu': 0.358, 'pos': 0.642, 'compound': 0.9509}",0.9509
6729,5/27/2012,Season 2,Episode 9,Blackwater,cersei lannister,And wolves.,House Lannister, and wolves,2,"['and', 'wolves']",['wolves'],['wolf'], wolf,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
4362,4/22/2012,Season 2,Episode 4,Garden of Bones,talisa,That boy did?,House Stark, that boy did,3,"['that', 'boy', 'did']",['boy'],['boy'], boy,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
3783,4/8/2012,Season 2,Episode 2,The Night Lands,arya stark,Liar.,House Stark, liar,1,['liar'],['liar'],['liar'], liar,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5106}",-0.5106
5708,5/13/2012,Season 2,Episode 7,A Man Without Honor,robb stark,"Continue, my lady.",House Stark, continue my lady,3,"['continue', 'my', 'lady']","['continue', 'lady']","['continue', 'lady']", continue lady,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
4343,4/22/2012,Season 2,Episode 4,Garden of Bones,talisa,Shh.,House Stark, shh,1,['shh'],['shh'],['shh'], shh,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
3752,4/8/2012,Season 2,Episode 2,The Night Lands,tyrion lannister,"No, but who else would want to murder King Robert's bastards? She's always been a jealous woman.",House Lannister, no but who else would want to murder king roberts bastards she is always been a jealous woman,18,"['no', 'but', 'who', 'else', 'would', 'want', 'to', 'murder', 'king', 'roberts', 'bastards', 'she', 'is', 'always', 'been', 'a', 'jealous', 'woman']","['else', 'would', 'want', 'murder', 'king', 'roberts', 'bastards', 'always', 'jealous', 'woman']","['else', 'would', 'want', 'murder', 'king', 'robert', 'bastard', 'always', 'jealous', 'woman']", else would want murder king robert bastard always jealous woman,"{'neg': 0.605, 'neu': 0.324, 'pos': 0.07, 'compound': -0.8979}",-0.8979
3460,4/1/2012,Season 2,Episode 1,The North Remembers,robb stark,You're Ser Alton Lannister?,House Stark, you are ser alton lannister,5,"['you', 'are', 'ser', 'alton', 'lannister']","['ser', 'alton', 'lannister']","['ser', 'alton', 'lannister']", ser alton lannister,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
4762,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,lancel lannister,Please kill me if anything should happen to Lord Tyrion.,House Lannister, please kill me if anything should happen to lord tyrion,10,"['please', 'kill', 'me', 'if', 'anything', 'should', 'happen', 'to', 'lord', 'tyrion']","['please', 'kill', 'anything', 'happen', 'lord', 'tyrion']","['please', 'kill', 'anything', 'happen', 'lord', 'tyrion']", please kill anything happen lord tyrion,"{'neg': 0.427, 'neu': 0.364, 'pos': 0.209, 'compound': -0.5267}",-0.5267
3516,4/1/2012,Season 2,Episode 1,The North Remembers,cersei lannister,Of course it is. No one believes this foul gossip -,House Lannister, of course it is no one believes this foul gossip ,10,"['of', 'course', 'it', 'is', 'no', 'one', 'believes', 'this', 'foul', 'gossip']","['course', 'one', 'believes', 'foul', 'gossip']","['course', 'one', 'belief', 'foul', 'gossip']", course one belief foul gossip,"{'neg': 0.298, 'neu': 0.702, 'pos': 0.0, 'compound': -0.1779}",-0.1779
5920,5/13/2012,Season 2,Episode 7,A Man Without Honor,tyrion lannister,He needs to start acting like a king. This war you started is coming to our doorstep. And if the entire city wants Joffrey dead,House Lannister, he needs to start acting like a king this war you started is coming to our doorstep and if the entire city wants joffrey dead,25,"['he', 'needs', 'to', 'start', 'acting', 'like', 'a', 'king', 'this', 'war', 'you', 'started', 'is', 'coming', 'to', 'our', 'doorstep', 'and', 'if', 'the', 'entire', 'city', 'wants', 'joffrey', 'dead']","['needs', 'start', 'acting', 'like', 'king', 'war', 'started', 'coming', 'doorstep', 'entire', 'city', 'wants', 'joffrey', 'dead']","['need', 'start', 'acting', 'like', 'king', 'war', 'started', 'coming', 'doorstep', 'entire', 'city', 'want', 'joffrey', 'dead']", need start acting like king war started coming doorstep entire city want joffrey dead,"{'neg': 0.373, 'neu': 0.455, 'pos': 0.173, 'compound': -0.7506}",-0.7506
6367,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,daenerys targaryen,"Then serve me. If my dragons are in the House of the Undying, then take me there.",House Targaryen, then serve me if my dragons are in the house of the undying then take me there,17,"['then', 'serve', 'me', 'if', 'my', 'dragons', 'are', 'in', 'the', 'house', 'of', 'the', 'undying', 'then', 'take', 'me', 'there']","['serve', 'dragons', 'house', 'undying', 'take']","['serve', 'dragon', 'house', 'undying', 'take']", serve dragon house undying take,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
3628,4/8/2012,Season 2,Episode 2,The Night Lands,cersei lannister,"You'll give the Starks our reply, cousin?",House Lannister, you will give the starks our reply cousin,8,"['you', 'will', 'give', 'the', 'starks', 'our', 'reply', 'cousin']","['give', 'starks', 'reply', 'cousin']","['give', 'starks', 'reply', 'cousin']", give starks reply cousin,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
